lat	lon	title	description	iconSize	iconOffset	icon
5550263.543154	1336353.2141394	AlfLug	<a href="http://www.alflug.it/">http://www.alflug.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5523210.8055312	1335531.8748628	RavennaLug	<a href="http://www.ravennalug.org/">http://www.ravennalug.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5558652.3324265	1190036.8428877	Lug Scandiano	<a href="http://lug.42019.it/">http://lug.42019.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5559791.0956173	1174689.6790054	RElug	<a href="http://relug.linux.it/">http://relug.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5471547.0912915	1394976.651063	RiminiLug	<a href="http://www.riminilug.it/">http://www.riminilug.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5459203.4339639	1417770.4951052	ValLUG	<a href="http://www.vallug.net/">http://www.vallug.net/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5754820.9079942	1500419.9076625	GoLug	<a href="http://www.golug.it/">http://www.golug.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5797767.7059516	1411742.1441109	Lug Pordenone	<a href="http://www.pordenone.linux.it/">http://www.pordenone.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5726666.8908491	1536061.4548728	Lug Trieste	<a href="http://trieste.linux.it/">http://trieste.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5815716.17442	1464738.6395988	IGLU	<a href="http://iglu.cc.uniud.it/">http://iglu.cc.uniud.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5741368.6965649	1487436.362126	Lug ALP	<a href="http://www.alproject.org/">http://www.alproject.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5848706.9828782	1451237.9937152	Tolmezzo Lug	<a href="http://carnia.la/2010/11/30/nasce-a-tolmezzo-un-linux-user-group-lug-gruppo-per-luso-e-la-promozione-del-software-libero/">http://carnia.la/2010/11/30/nasce-a-tolmezzo-un-linux-user-group-lug-gruppo-per-luso-e-la-promozione-del-software-libero/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5082321.3663878	1465769.9163526	Lug Privernum Volsca	<a href="http://lugpv.netsons.org/">http://lugpv.netsons.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5075796.7731871	1463435.3541525	LLG	<a href="http://www.llg.it/">http://www.llg.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5059105.0977461	1468496.5617189	GioveLUG	<a href="http://www.giovelug.org/">http://www.giovelug.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5217678.184482	1442817.9678991	Lug Rieti	<a href="http://www.lugrieti.net/">http://www.lugrieti.net/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5103654.8624869	1506877.5370187	CiLug	<a href="http://www.cilug.org/">http://www.cilug.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5149536.2698986	1399411.029	LSLug - La Sapienza Linux User Group	<a href="http://www.ls-lug.org/">http://www.ls-lug.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5149536.2698986	1399411.029	Lug Roma	<a href="http://www.lugroma.org/">http://www.lugroma.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5149536.2698986	1399411.029	Lug Roma TRE	<a href="http://www.lugroma3.org/">http://www.lugroma3.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5172749.2499648	1365343.2528921	SabaziaLug	<a href="http://www.sabazialug.org/">http://www.sabazialug.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5224870.8494535	1335387.7111098	TuLug	<a href="http://www.tulug.it/">http://www.tulug.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5538105.7241801	1015565.37747	Genuense Lug	<a href="http://genova.linux.it/">http://genova.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5538105.7241801	1015565.37747	LugGe	<a href="http://www.lugge.net/">http://www.lugge.net/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5538105.7241801	1015565.37747	GinLug	<a href="http://www.sennaweb.org">http://www.sennaweb.org</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5516541.5463497	1037265.0374605	TLug-TSL	<a href="http://tlug.linux.it/">http://tlug.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5509270.2100919	922986.84117392	Govonis GNU/LUG	<a href="http://www.govonis.org/">http://www.govonis.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5509270.2100919	922986.84117392	SavonaLug	<a href="http://savona.linux.it/">http://savona.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5747812.2120045	1089740.3147952	BGLug	<a href="http://www.bglug.it/">http://www.bglug.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5750073.1408399	1090924.8832639	BGLug Valle Seriana	<a href="http://bglugvs.web3king.com/">http://bglugvs.web3king.com/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5709750.6056709	1125782.2222958	Lug Castegnato	<a href="http://www.kenparker.eu/LugCastegnato/">http://www.kenparker.eu/LugCastegnato/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5732736.7670457	1147930.8027522	LugBS	<a href="http://lugbs.linux.it/">http://lugbs.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5732736.7670457	1147930.8027522	LugOB	<a href="http://www.lugob.org/">http://www.lugob.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5769016.7391029	1018931.0228225	GL-Como	<a href="http://www.gl-como.it/">http://www.gl-como.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5679326.2559663	1077948.7214968	Lug Crema	<a href="http://filibusta.crema.unimi.it/">http://filibusta.crema.unimi.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5656196.1186116	1112619.5362718	LugCR	<a href="http://www.lugcr.it/">http://www.lugcr.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5764655.0367131	1044957.6736434	GLUX	<a href="http://www.lecco.linux.it/">http://www.lecco.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5658059.0892715	1066464.0706736	LoLug	<a href="http://www.lolug.org/">http://www.lolug.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5641239.1841001	1198073.4681263	LugMan	<a href="http://www.lugman.org/">http://www.lugman.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5694439.1727245	1015560.851817	Lug Bocconi	<a href="http://www.lug-bocconi.org/">http://www.lug-bocconi.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5694439.1727245	1015560.851817	OpenLabs	<a href="http://www.openlabs.it/">http://www.openlabs.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5694439.1727245	1015560.851817	POuL	<a href="http://www.poul.org/">http://www.poul.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5709702.3608026	1026150.5469135	LIFOS	<a href="http://www.lifos.org/">http://www.lifos.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5700332.7805193	1044065.2985217	ViGLug	<a href="http://www.viglug.org">http://www.viglug.org</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5714124.2182143	1032620.879792	MoBLUG	<a href="http://www.bubblesfactory.it/">http://www.bubblesfactory.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5638641.3064459	1005957.5585631	TiLug	<a href="http://pavia.linux.it/">http://pavia.linux.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5670374.0448492	986850.71934058	LUGDucale	<a href="http://www.lugducale.it">http://www.lugducale.it</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5749170.9096527	977001.49469817	GULLP - Gruppo Utenti Linux Lonate Pozzolo	<a href="http://www.gullp.it/">http://www.gullp.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5749170.9096527	977001.49469817	LIFO	<a href="http://www.lifolab.org/">http://www.lifolab.org/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5749170.9096527	977001.49469817	LinuxVar	<a href="http://www.linuxvar.it/">http://www.linuxvar.it/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
5750627.8498902	958779.85849476	IspraLUG	<a href="http://ispralug.eu/">http://ispralug.eu/</a>	16,19	-8,-19	http://lugmap.it/forge/map-generator/icon.png
